BOOKING_ID,PASSENGER_ID,FLIGHT_NUMBER,ORIGIN,DESTINATION,BOOKING_TS,BOOKING_STATUS,FARE_AMOUNT,CURRENCY,CHANNEL,HEADER__CHANGE_OPER,HEADER__CHANGE_SEQ,HEADER__TIMESTAMP
BK1001,PX501,AA210,JFK,LHR,2026-08-01 09:12:00,CONFIRMED,842.50,USD,WEB,L,1000000001,2026-08-20 00:00:00
BK1002,PX502,AA210,JFK,LHR,2026-08-01 10:03:00,CONFIRMED,799.00,USD,MOBILE,L,1000000002,2026-08-20 00:00:00
BK1003,PX503,DL880,ATL,CDG,2026-08-02 14:45:00,CONFIRMED,1120.75,USD,AGENT,L,1000000003,2026-08-20 00:00:00
BK1004,PX504,UA455,ORD,FRA,2026-08-03 07:30:00,PENDING,950.00,USD,WEB,L,1000000004,2026-08-20 00:00:00
BK1005,PX505,AA210,JFK,LHR,2026-08-03 18:20:00,CONFIRMED,860.00,USD,WEB,L,1000000005,2026-08-20 00:00:00
BK1006,PX506,BA112,BOS,LHR,2026-08-04 11:05:00,CONFIRMED,1310.00,USD,MOBILE,L,1000000006,2026-08-20 00:00:00
BK1007,PX507,DL880,ATL,CDG,2026-08-05 16:40:00,CANCELLED,1120.75,USD,AGENT,L,1000000007,2026-08-20 00:00:00
BK1008,PX508,UA455,ORD,FRA,2026-08-06 08:15:00,CONFIRMED,975.25,USD,WEB,L,1000000008,2026-08-20 00:00:00
BK1009,PX509,AF022,LAX,CDG,2026-08-07 22:00:00,CONFIRMED,1450.00,USD,PARTNER,L,1000000009,2026-08-20 00:00:00
BK1010,PX510,BA112,BOS,LHR,2026-08-08 06:25:00,PENDING,1290.00,USD,WEB,L,1000000010,2026-08-20 00:00:00
