RESERVATION_ID,BOOKING_ID,SEAT_NUMBER,CABIN_CLASS,RESERVATION_STATUS,CHECKED_IN_FLAG,UPDATED_TS,HEADER__CHANGE_OPER,HEADER__CHANGE_SEQ,HEADER__TIMESTAMP
RS9001,BK1001,12A,ECONOMY,ACTIVE,N,2026-08-01 09:15:00,L,2000000001,2026-08-20 00:00:00
RS9002,BK1002,12B,ECONOMY,ACTIVE,N,2026-08-01 10:05:00,L,2000000002,2026-08-20 00:00:00
RS9003,BK1003,03C,BUSINESS,ACTIVE,N,2026-08-02 14:50:00,L,2000000003,2026-08-20 00:00:00
RS9004,BK1004,21F,ECONOMY,HELD,N,2026-08-03 07:35:00,L,2000000004,2026-08-20 00:00:00
RS9005,BK1005,14D,ECONOMY,ACTIVE,Y,2026-08-03 18:25:00,L,2000000005,2026-08-20 00:00:00
RS9006,BK1006,01A,FIRST,ACTIVE,N,2026-08-04 11:10:00,L,2000000006,2026-08-20 00:00:00
RS9007,BK1007,03D,BUSINESS,CANCELLED,N,2026-08-05 16:45:00,L,2000000007,2026-08-20 00:00:00
RS9008,BK1008,18C,ECONOMY,ACTIVE,N,2026-08-06 08:20:00,L,2000000008,2026-08-20 00:00:00
RS9009,BK1009,02B,BUSINESS,ACTIVE,Y,2026-08-07 22:10:00,L,2000000009,2026-08-20 00:00:00
RS9010,BK1010,22A,ECONOMY,HELD,N,2026-08-08 06:30:00,L,2000000010,2026-08-20 00:00:00
